,price,latitude,longitude,accommodates,bedrooms,bathrooms,beds,cleaning_fee,guests_included,host_response_rate,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,calculated_host_listings_count,extra_people,host_since,neighbourhood_Allston-Brighton,neighbourhood_Back Bay,neighbourhood_Beacon Hill,neighbourhood_Brookline,neighbourhood_Cambridge,neighbourhood_Charlestown,neighbourhood_Chestnut Hill,neighbourhood_Chinatown,neighbourhood_Dorchester,neighbourhood_Downtown,neighbourhood_Downtown Crossing,neighbourhood_East Boston,neighbourhood_Fenway/Kenmore,neighbourhood_Financial District,neighbourhood_Government Center,neighbourhood_Harvard Square,neighbourhood_Hyde Park,neighbourhood_Jamaica Plain,neighbourhood_Leather District,neighbourhood_Mattapan,neighbourhood_Mission Hill,neighbourhood_North End,neighbourhood_Roslindale,neighbourhood_Roxbury,neighbourhood_Somerville,neighbourhood_South Boston,neighbourhood_South End,neighbourhood_Theater District,neighbourhood_Unknown,neighbourhood_West End,neighbourhood_West Roxbury,require_guest_phone_verification_No,require_guest_phone_verification_Yes,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_is_superhost_No,host_is_superhost_Yes,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_super_strict_30,property_type_Apartment,property_type_Bed & Breakfast,property_type_Boat,property_type_Camper/RV,property_type_Condominium,property_type_Dorm,property_type_Entire Floor,property_type_Guesthouse,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,property_type_Unknown,property_type_Villa,is_location_exact_No,is_location_exact_Yes
2929,80.0,42.29728860592044,-71.05654508270585,2,1.0,1.0,1.0,68.38014527845036,1,0.67,29,59,89,364,91.91666666666667,9.43157132512672,9.25804119985544,9.414042707202317,9.16823444283647,2,0.0,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2930,31.0,42.28299239722918,-71.07393180925204,1,1.0,1.0,1.0,50.0,1,1.0,6,36,66,341,100.0,10.0,10.0,10.0,10.0,20,0.0,3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2931,67.0,42.28971393207284,-71.0614035036455,4,1.0,1.0,2.0,40.0,1,1.0,20,50,80,355,92.0,10.0,9.0,9.0,9.0,4,15.0,3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2933,56.0,42.30088320910919,-71.08189710640713,1,1.0,1.0,1.0,25.0,1,1.0,0,0,0,248,86.0,9.0,9.0,8.0,8.0,5,10.0,3923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2934,70.0,42.31725532498189,-71.0538550102279,1,1.0,1.0,1.0,20.0,1,0.8,7,27,57,332,80.0,9.0,9.0,8.0,8.0,4,20.0,4162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2935,175.0,42.31418505456127,-71.06000714910215,9,4.0,2.0,4.0,200.0,4,0.73,11,16,17,17,93.0,10.0,10.0,9.0,9.0,10,10.0,4717,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2936,300.0,42.310578567378606,-71.05507122762137,6,3.0,1.5,2.0,125.0,1,0.8,0,5,14,279,99.0,10.0,10.0,10.0,10.0,1,0.0,3024,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2937,125.0,42.28981312038293,-71.059004563947,5,2.0,1.0,3.0,150.0,2,0.73,2,17,47,322,93.0,9.0,10.0,8.0,9.0,10,10.0,4717,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2938,80.0,42.28429056544545,-71.06829088298191,2,1.0,1.0,1.0,68.38014527845036,1,0.92,30,60,90,117,80.0,9.0,8.0,9.0,7.0,3,10.0,4169,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2939,100.0,42.32457012940101,-71.05838331223003,1,1.0,1.0,1.0,85.0,1,1.0,9,39,69,344,91.91666666666667,9.43157132512672,9.25804119985544,9.414042707202317,9.16823444283647,6,0.0,3074,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
